seed,species,event_dist,event_ndist,seed_dist,seed_ndist,nfactor,norm_leafno,norm_median,norm_mean,norm_width,norm_sum,norm_kurt,norm_skew,norm_D,norm_S,whole_leafno,whole_median,whole_mean,whole_width,whole_sum,whole_kurt,whole_skew,whole_D,whole_S
Phy0007YQE_HUMAN,HUMAN,1.1123111,2.0546344817165583,1.6624861000000002,3.070904593539058,0.5413669000000001,26,0.5413669000000001,0.6381899076923077,1.7310299,16.5929376,-1.4426716520085299,0.2245398229495632,5,20,27,1.0073786,1.1647282444444444,2.2812049,31.447662599999994,-1.4284182940389585,0.28692609819406123,5,21
Phy00266WG_HUMAN,HUMAN,0.8134095,1.1093577474654457,1.4538345,1.9827928812087303,0.7332255999999999,47,0.7332255999999999,0.7030776191489363,1.2821796,33.0446481,-1.0676020004475315,0.17897632424979135,8,38,48,1.36950425,1.32885516875,1.9226046000000003,63.78504810000001,-0.6032879970930961,-0.06191199308745943,8,39
Phy0008LM1_HUMAN,HUMAN,0.8406133,0.7846297331507724,2.0912083,1.9519370088382857,1.0713503,25,1.0713503,1.122625716,1.7052546000000002,28.0656429,-0.2788027131440036,0.7164047311462237,2,22,26,2.32180415,2.3300428038461543,2.9558495999999987,60.58111290000001,3.4848833254677976,-1.0968383201776564,2,23
Phy001R5Z0_HUMAN,HUMAN,2.2851049,3.5347694357181414,2.5037814,3.8730344355042856,0.64646505,28,0.64646505,0.6699408428571428,0.8352405999999999,18.7583436,-0.8416874492024791,0.39330323678799467,3,24,32,2.59826265,2.5008278,4.5777125000000005,80.02648959999998,4.907980440013121,-1.087603636510746,3,28
Phy0024EDC_HUMAN,HUMAN,1.5276916999999999,1.0022773607886786,1.9478572,1.2779366239989554,1.5242205000000002,11,1.5242205000000002,1.4955082,1.7370419999999998,16.4505902,-0.8638365329463724,-0.010840505161773477,0,10,12,1.94412155,1.791048016666667,2.1572075,21.4925762,5.281915758195863,-2.4995982386506967,0,11
Phy0007XWL_HUMAN,HUMAN,0.9492775999999999,0.3030369710476665,7.6604851,2.4454492568451838,3.13254715,26,3.13254715,2.740776438461538,4.104198,71.26018739999998,-1.257773139087125,-0.19858679994890466,11,14,150,7.6032058000000005,7.0562314453333315,9.4477615,1058.4347168000004,2.1658342383496394,-1.4941420538520898,60,89
Phy0026G3X_HUMAN,HUMAN,0.0394375,0.3259678714494298,0.05488895,0.45368074035104106,0.12098585,4,0.12098585,0.121538625,0.2047453,0.4861545,-1.982149785544087,0.0028367690508613965,2,1,5,0.06412305,0.11268235,0.22019675,0.56341175,-1.7424181229583788,0.2962460374020627,3,1
Phy00261U6_HUMAN,HUMAN,0.5566329999999999,2.5652673439074825,0.7534154999999999,3.4721480374748315,0.21698829999999997,9,0.21698829999999997,0.2871831333333333,0.5598150000000001,2.5846482,-0.242366105806938,1.3107475024855026,1,7,10,0.4087308,0.45524732,0.7565975,4.5524732000000006,-0.045592586604084495,0.8276987142033727,1,8
Phy0008FHD_HUMAN,HUMAN,0.904142,1.310311035506316,1.9709186,2.856317250680378,0.6900208999999999,44,0.6900208999999999,0.6957721159090909,1.0431449000000002,30.613973100000006,2.084851777182096,1.1808959846099891,5,38,150,2.3560402500000004,2.343836424,3.2465998999999988,351.57546360000015,4.142858803597334,-1.0964320595278407,46,103
Phy0007XOA_HUMAN,HUMAN,0.7458049999999999,1.0001853374724474,2.17204,2.912882805027661,0.7456668000000001,14,0.7456668000000001,0.7403923285714287,0.9144260000000001,10.3654926,1.6157240144966405,-0.7978442338865764,0,13,113,7.669635700000001,6.171338777876106,12.0023887,697.3612819,-1.2837225477757097,-0.17077273265646262,34,78
Phy0008218_HUMAN,HUMAN,2.6807037,1.0210756783361994,2.7519102,1.0481981183468008,2.6253722,149,2.6253722,2.4799548919463086,3.3180682,369.51327890000016,4.342286498806885,-2.278176816120891,27,121,150,2.6953520500000003,2.5346283593333334,3.3892747000000005,380.1942539,4.025021823549255,-2.2283814268392037,28,121
Phy001R7NM_HUMAN,HUMAN,3.6987457999999998,2.4017698864499706,4.045707299999999,2.6270683328740287,1.5400083999999998,43,1.5400083999999998,1.541405730232558,2.9073458000000003,66.28044640000002,-1.3808866618490219,0.1648571520834321,6,36,71,4.1703746000000015,3.7478666845070414,6.3845753,266.0985346,-1.4742565451774754,-0.31861633580228843,11,59
Phy000828L_HUMAN,HUMAN,1.3862467000000005,1.062854101852219,1.6086842000000003,1.2333999428491735,1.3042681,149,1.3042681,1.3410064355704698,2.6804486,199.8099589,-0.4981852028484064,0.2811442354584521,99,49,150,1.52380035,1.5545038926666668,2.9028861000000004,233.1755839,-0.4515561319526378,0.23016612802277414,100,49
Phy001R6C5_HUMAN,HUMAN,1.4745356,6.360316036883335,5.019857599999999,21.652838219810143,0.23183370000000006,61,0.23183370000000006,0.28007888524590163,0.6938045999999999,17.084812,2.9531857073992827,1.7007787153335845,10,50,150,5.029679250000001,5.126944766,7.411228000000002,769.0417148999999,0.8534379198619382,0.3525687066253113,32,117
